Rares,Website,Email,,Street Address,State,Located on Site Map,How Many Combos selling per week?,Listed On Website,Display,Linked from thier website,Updated Pricing & Bundle (2 & 1),Date Contacted,Notes,Facebook We Like,Updated Photos,Facebook They Like
Black Hawk Brewing Supply,www.blackhawkbrewing.com,blackhawkbrewing@hotmail.com,(254) 393-0491,"582 E. Central Texas Expressway, Harker Heights, TX 76548",TX,Yes,,,,,,,,,,
Wichita Homebrew Supply,www.txhomebrew.com,txhomebrew@gmail.com,940-592-5455,3274 Rogers Rd.,TX,,,,,,,,,,,
Brew-It-Yourself,www.brew-it-yourself.com,Ray@biy-tx.com,(281) 367-2739,"25770 Interstate 45 North, #107, Spring, Texas 77386",TX,,,,,,,,,,,
HELOTES CREEK WINERY,,,210-912-3048,10503 BAR X TRAIL HELOTES TX 78023,TX,,,,,,,,,,,
TEXAS HOMEBREWERS,,,281-829-0772,3130 FRY ROAD KATY TX 77449,TX,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
NEBRASKA,,,,,,,,,,,,,,,,
Cornhusker Beverage,www.cornhuskerbeverage.com,info@cornhuskerbeverage.com,(402) 331-5404,"8510 K St. Omaha, NE 68127",NE,Yes,,No,,No,,6/11/13,August 29th - no answer,Yes,,
Kirk's Do It Yourself Brew,www.kirksbrew.com,kirk@kirksbrew.com,402 476-7414,"1150 Cornhusker Highway Lincoln, NE 68521",NE,Yes,,No,,,35,7/19/13,"August 29th - only have five sets left, doing very well",No Facebook Page,sent new photos,
Fermenter's Supply & EquipmentÂ ,www.fermenterssupply.com,fse@tconl.com,402-593-9171,"8410 K Plaza Suite # 10, Omaha NE 68127",NE,Yes,,,,,,,,,,
3,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,,,,,,,
St. Louis Wine and Beer Making,www.wineandbeermaking.com,kerrie@wineandbeermaking.com,(636) 230-8277,"231 Lamp and Lantern Vlg, Chesterfield, MO 63017",MT,Yes,,No,,No,,6/11/13,August 29th - no answer,No Facebook Page,,
Home Brewery,www.homebrewery.com,brewery@homebrewery.com,1-800-321-2739,"1967 West Boat St. Ozark, MO 65721",MT,Yes,,No - in the midst of re-doing site,,No,rack 13.95 - tray 11.95,6/11/13,"August 29th - moving pretty well, more than bottle tree now, and easier to ship!!",Yes,sent photos,
Lolo Peak Winery / Chapmans Brewing,www.lolopeak.com,wine@lolopeak.com,406-549-1111,"2506 Mount Ave. Missoula, Mt 59804",MT,Yes,,No,,No,30,6/11/13,"August 29th - sales are picking up, selling fast, getting next order form brewcraft",No Facebook Page,sent photos,
Withey's Health Foods,,,406-755-5260,"1231 S. Main, Kalispell, MT 59901",MT,Yes,,,,,,,,Yes,,
Billings Homebrewers Supply,https://www.facebook.com/pages/Billings-Homebrewery-Supply/168367976506729,craigseiffert@bresnan.net,406-256-0261,"1916 3rd Ave North, Billings, Montana 59101",MT,Yes,,,,,,,,,,
Fire & Brew,http://www.fireandbrew.com/,fireandbrew@hotmail.com,406-494-2440,"5200 Harrison Ave, Butte, Montana 59701",MT,Yes,,,,,,,,,,
Summer Sun,https://www.facebook.com/SummerSunGardenandBrew,jared.summersun@gmail.com,406-541-8623,"838 W Spruce StÂ Â Missoula, Mt 59802
",MT,Yes,,,,,,,,,,
Planet Natural,https://www.facebook.com/UBrewHomebrew,ubrew@planetnatural.com,406-551-2240,"1251 N. Rouse, Bozeman, Montana 59715",MT,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
NEVADA,,,,,,,,,,,,,,,,
Reno Home Brewer,www.renohomebrewer.com,renohomebrewer@prodigy.net,775-329-2537,"2335 Dickerson Rd. Reno, NV 89503",NV,Yes,,Yes,,No,,6/11/13,August 29th - no answer,Yes,,
"U Bottle It, LLC",www.ubottleit.com,gary@ubottleit.com,702-565-5040,"2230 West Horizon Ridge Pkwy.
Henderson, NV
89052",NV,Yes,,No,,No,,6/11/13,August 29th - no longer the number,Yes,,
Other World Coffee,http://www.otherworldcoffeeroasters.com/,don@otherworldcoffeeroasters.com,702-581-8451,19 Stone Cress Dr. Henderson NA  89074,NV,Yes,,,,,,,,,,
3,,,,,,,,,,,,,,,,
NEW MEXICO,,,,,,,,,,,,,,,,
U Bru,http://www.ubruathome.com,ubrustore@hotmail.com,505-327-3000,"2501 East 20th St. Farmington, New Mexico, 87401",NM,Yes,,No,,No,,6/11/13,September 26th- no answer,No Facebook Page,,
Southwest Grape & Grain,www.southwestgrapeandgrain.com,southwestgrapeandgrain@gmail.com,(505) 332-2739,"2801 Eubank Blvd North East. Albuquerque, NM 87112",NM,Yes,,No,,No,,6/11/13,"September 26th- busy, call back",No Facebook Page,,
Victor's Grape Arbor,www.victorsgrapearbor.com,victors@nmia.com,505-883-0000,"2436 San Mateo Pl NE
Albuquerque NM 87110",NM,Yes,,No,,,,,"September 26th- owner not in, call back",Yes,,
The Grain Hopper,www.thegrainhopper.com,info@thegrainhopper.com,505-859-7606,"4116 Jackie Rd. Ste 104
 Rio Rancho, NM 87124",NM,Yes,,No,,,,,"September 26th- give a call back when manager comes in, any other day",Yes,,
Santa Fe Homebrew Supply,www.santafehomebrew.com,jami@nmbrew.com,505-473-2268,6820 Cerrillos Rd #7,NM,Yes,,,,,,,,,,
Coyote Home Brewing Supply,,discountpoolslc@aol.com,1 575-523-4144,700 A Granada Shopping Center,NM,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
PENNSYLVANIA,,,,,,,,,,,,,,,,
Keystone Homebrew Supply,www.keystonehomebrew.com,infobeth@keystonehomebrew.com,610-997-0911,"126 - 128 East 3rd St. Bethlehem, PA 18015",PA,Yes,couple a week,http://www.keystonehomebrew.com/shop/fast-rack-bottle-dryer-rack-2x12-and-tray-1.html,,No,33.95,6/11/2013 - 9/26/13,"September 26th - sales are goin really well, just reordered. website handled through their other store, send new photos to them",Yes,emailed new photos,
Keystone Homebrew Supply,www.keystonehomebrew.com,"infobeth@keystonehomebrew.com,",215-855-0100,"435 Doylestown Rd. Montgomeryville, PA 18936",PA,Yes,couple a week,http://www.keystonehomebrew.com/shop/fast-rack-bottle-dryer-rack-2x12-and-tray-1.html,,No,33.95,6/11/2013 - 9/26/13,September 26th - emailed these guy updated photos. love the product,Yes,""" """,
Ruffled Wine & Brewing Supplies,www.ruffledhomebrewing.com,ruffledhomebrewing@verizon.net,412-828-7412,"616 Allegheny River Blvd. Oakmont PA,15139",PA,Yes,,www.ruffledhomebrewing.com,,No,29.95,6/11/2013 - 9/26/13,"September 26th - going pretty well, have to ask the owner about how many they sell a week, but people are liking the product",No Facebook Page,emailed new photos,
Barry's Homebrew Outlet,http://www.barryshomebrew.com/,info@barryshomebrew.com,215-755-4556,"1447 North American St. Philadelphia, PA 19122",PA,Yes,1 or 2 a month,No,?,No,$35 ,6/11/2013 - 9/26/13,"September 26th - doing alright, 1 or 2 a mont, redoing website right now, will add photos, going to re-order from BSG",Yes,,
HomeBrew4Less.com LLC,www.homebrew4less.com,blaine@homebrew4less.com,717-504-8534,"865 Lincoln Way West. Chambersburg, PA 17202",PA,Yes,,http://www.store.homebrew4less.com/2-Fast-Rack-with-1-Drip-Tray-Combo/productinfo/FRFC2/http://www.store.homebrew4less.com/searchprods.asp,,No,28.47,6/11/2013 - 9/26/13,"September 26th - sales are going well, going to re-order next week, down to their last few racks and trays - selling like crazy when they first came in, slowed down a little bit",Yes,emailed updated photos,
Simply Homebrew,http://www.simplyhomebrew.com/,sales@simplyhomebrew.com,570-788-2311,"2 Honey HoleÂ Rd. Drum, Pennsylvania, 18222",PA,Yes,,No,,No,39.99 (3 racks 1 tray),6/11/2013 - 9/26/13,"September 26th - sales are going pretty well, wants info on coloured racks and wine rack",Yes,emailed updated photos,
Beer & Pop Discount Warehouses,www.beerpop.com,holmes1135@gmail.com (manages social network),814-454-2337,"901 Peninsula Dr.
Erie, PA
16505",PA,Yes,,No,,No,"11.25 Rack, 8.35 Tray",6/11/2013 - 9/26/13,September 26th - haven't taken off just yet,No Facebook Page,,
"Wine, Barley & Hops Homebrew Supply",www.winebarleyandhops.com,info@winebarleyandhops.com,215-322-4780,"248 Bustleton Pike. Feasterville, PA 19053",PA,Yes,,website not fully developed yet,,No,"13.50 rack, 9.00 Tray (36 for combo if they want) - ",9/26/13,"September 26th - sales going prety well, still have a few yet. wants photos to email out ",Yes,emailed photos anyway,
Keggle Brewing,www.kegglebrewing.com,info@kegglebrewing.com,(412) 443-8295,"3392 Saxonburg Blvd. Glenshaw, PA 15116",PA,Yes,,http://www.kegglebrewing.com/FastTrack-Bottle-Storage_c_97.html,,No,32-33,9/26/13,"September 26th - kinda slow for now, knows it will pick up ""it's a winter sport"" ",Yes,No,
Hamlin Distributors,No Website,hamlindistributors@gmail.com,570-689-2891,"590 Hamlin Hwy.  Hamlin, PA 18427",PA,Yes,,,,,,6/11/2013 - 9/26/13,"September 26th - slow for now, said to call back during the mornings and he will check everything ",,,
Yore Wine Shoppe,www.yorewineshoppe.com,f_drought@hotmail.com,570-546-6910,"4001 Muncy Exchange Rd. Muncy, PA 07756",PA,Yes,,No,,No,,6/11/2013 - 9/26/13,September 26th - straight to answering machine,No Facebook Page,,
Lancaster Homebrew,www.lancasterhomebrew.com,info@lancasterhomebrew.com,717-517-8785,"1944 Lincoln Hwy East.
Lancaster, PA
17602",PA,Yes,,No,,No,,6/11/2013 - 9/26/13,September 26th - ,Yes,,
Scotzin Bros.,www.scotzinbros.com,shop@scotzinbros.com - ,717-737-0483,"65 N 5th St # C  Lemoyne, PA 17043",PA,Yes,,No,,No,"31.95 - 42.95 (3 racks, 1 tray)",6/11/2013 - 9/26/13,"September 26th - still have some in stock, trying to push them! ",Yes,emailed new photos,
Universal Carbonic Gas Co.,www.readingdraft.com,jeanrreadingdraft@verizon.net,610-372-2565,"614 Gregg Ave  Reading, PA 19611",PA,Yes,,Page in under construction,,,,9/26/13,September 26th - busy signal,No Facebook Page,,
Montgomery Underground Winery,http://www.montgomeryundergroundwinery.com/wp/?page_id=2,montgomerywinery@windstream.net,724-354-4340 - 724-354-3258,"Montgomery Underground Winery
130 Montgomery Lane
Rural Valley, PA 16249",PA,Yes,,,,,2 racks 17.99 ,9/26/13,"September 26th - only sold one, sold a few at other location as well. Showd their beer club, they loved it! will keep pushing",Yes,emailed new photos,
Henry Voelcker Inc.,http://voelckerbeverage.com,"marc@voelckerbeverage.com, scott@voelckerbeverage.com",570-275-2337,"Henry Voelcker Inc.
346 - 352 Ferry Street
Danville, PA 17821",PA,Yes,average 1 per week ,,,,31.99,9/26/13,"September 26th - very well, sold over half, next shipment within the next month ",Yes,,
Mr. Steve's Homebrew Supply - Lancaster,www.mrsteves.com,mrsteve@mrsteves.com,717-751-2255,"2944 Whiteford Road
York, PA 17402",PA,Yes,,,"still have it displayed, one combo left up there",,32,9/26/13,"September 26th - most of first shipment sold, will order more when it's sold out ",Yes,doesn't want photos,
South Hills Brewing Supply,www.southhillsbrewing.com,"shbsjon@aol.com, tony@southhillsbrewing.com",(412) 937-0773,"2212 Noblestown Road Pittsburgh, PA 15205",PA,Yes,,,,,,9/26/13,"September 26th - going pretty well, says to call back for jon",Yes,,
Wine & Beer Emporium,www.winebeeremporium.com,winebeeremporium@aol.com,610-558-2337,"100 Ridge Rd., suite 100, Chaddsford, P.A. 19317",PA,Yes,,No,yes set up ,,,9/26/13,"September 26th - hasn't sold one yet. had to go, busy.",No Facebook Page,,
Weak Knee Home Brew Supply,www.weakkneehomebrew.com,weakkneehomebrew@gmail.com,(610) 327-1450,"1300 N Charlotte St, North End Shopping Center, Pottstown, PA 19464",PA,Yes,,,,,,9/26/13,September 26th - No answer,Yes,,
Porter House Brew Shop LLC,www.porterhousebrewshop.com,info@porterhousebrewshop.com,724.368.9771,"1284 Perry Highway Portersville, PA  16051",PA,Yes,,,,,,9/26/13,September 26th - Wait for owner,Yes,,
Artisan Homebrew,www.artisanhomebrew.com,mike@artisanhomebrew.com,610-873-4677,"128 E Lancaster Ave  Downingtown, PA 19335",PA,Yes,,,,,,9/26/13,September 26th - no one can help me,Yes,,
Windy Hill Wine Making,www.windyhillwine.net,windyhillwine@windstream.net,814-337-6871,"10998 Perry Hwy  Meadville, PA 16335",PA,Yes,,,,,,9/26/13,September 26th - ,,,
A&M Wine Supplies,http://www.amwinesupplies.com/,amwinesupply@gmail.com,724-222-9463,"415 South Main street, Washington, Pennsylvania 15301",PA,Yes,,,,,,9/26/13,September 26th - ,,,
Brilhart Hardware,http://brilhartacehardware.com/,brilhartace@zoominternet.net,724-887-9330,"236 South Broadway, Scottsdale, Pennsylvania 15683",PA,Yes,,,,,,,,,,
Halligan Homebrew,https://www.facebook.com/pages/Halligan-Homebrew/371016499662320https:/www.facebook.com/pages/Halligan-Homebrew/371016499662320,halliganhomebrew@gmail.com,717-490-2968,"2 Spring Garden Street, Elizabethtown, Pennsylvania 17022",PA,Yes,,,,,,,,,,
Mr Steve's Homebrew Supplies,http://www.mrsteves.com/,,800-815-9599 ,"2206 Gettysburg Rd, Camp Hill, Pennsylvania 17011",PA,Yes,,,,,,,,,,
Home Sweet Homebrew,www.homesweethomebrew.com,nancy@homesweethomebrew.com,215-569-9469,"2008 Sansom Street, Philadelphia, PA 19193",PA,Yes,,,,,,,,,,
Catino's,http://catinos.com/,artcat@ptd.net,570-339-2474,"9 South Oak St, Mount Carmel, Pennsylvania 17851",PA,Yes,,,,,,,,,,
Cavallaro Pain & Decorating,,cavallaropaintanddecorating@yahoo.com,814-362-9565,"12 Kennedy Street, Bradford, Pennsylvania 16701",PA,Yes,,,,,,,,,,
Brew Your Own Beer - Winemaking Too!,http://beeradvocate.com/beer/profile/5633/?view=beerfly&ba=gdfan47,byob2026@aol.com,610-449-5496,"2026 Darby Road, Havertown, Pennsylvania, 19083",PA,Yes,,,,,,,,,,
Brew It Yourself,http://www.brewityourselfllc.com/,brewman159@hotmail.com,814-674-8889,"1538 Columbia Street, Loretto, Pennsylvania 15940",PA,Yes,,,,,,,,,,
Ferrone Family Winery,,timfer123@comcast.net,570-905-4895,"505 Main street, Peckville, Pennsylvania 18452",PA,Yes,,,,,,,,,,
Bierhaus International,http://www.bierhaus.zoovy.com/,bierhaus1@verizon.net,(814) 833-7747,"3723 W 12th St, Erie, PA 16505",PA,,,,,,,,,,,
Plaza Beverage Inc,http://www.plazabev.com/,plazabevinc@aol.com,570-654-2680,"3 Rachel Lane, Pittston, Pennsylvania 18640",PA,,,,,,,,,,,
Beer Solutions Inc.,www.beersolutionsinc.com,beersol@ptd.net,570-825-5509,"507 Blackman St  Wilkes-Barre, PA 18702",PA,,,,,,,,,,,
Kellers Beer Distributor/Homebrew Supply,http://www.kellersbeer.com/,kellersbeer@gmail.com,570-374-1046,"21 S Water street, Selinsgrove, Pennsylvania 17870",PA,,,,,,,,,,,
HOW DO YOU BREW,,,302-788-7009,575 MOUNT HOPE ROAD NEWARDK DE 19711,PA,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
VERMONT,,,,,,,,,,,,,,,,
Local Potion,www.localpotion.net,localpotionvt@gmail.com,802-454-7200,"20 School St  Plainfield, VT 05667",VT,Yes,,,,,,9/26/13,September 26th - Call the beer guy back next week,Yes,,
Stone Corral Brewery,http://www.stonecorral.com/,bret@gmavt.net,802-338-2707,830 Taft Rd. Huntington VT  05462,VT,Yes,,,,,,,,,,
2,,,,,,,,,,,,,,,,
GEORGIA,,,,,,,,,,,,,,,,
Wine Workshop And Brew Center,http://www.wineworkshop.net/,info@WineWorkshop.net,404-228-5211,"627 East College Ave Suite F, Decatur, Georgia 30030",GA,Yes,,No,,,,,,Yes,,
Savannah Homebrew Shop,www.savannahhomebrew.com,SavHomebrew@hotmail.com,912-201-9880,"2102 Skidaway Rd. Savannah, GA 31404",GA,Yes,,No,,,,,,Yes,,
Barley & Vine,www.barleyNvine.com,"info@barleyNvine.com, BarleyandVine@Gmail.net",(770) 507-5998,"1445 Rock Quarry Road, Suites 204, Stockbridge, GA 30281",GA,Yes,,,,,,,,Can't find it,,
Muskedines,http://www.muskedines.com/,kenny@muskedines.com,770-383-3100,"640 N Tennesee st, Cartersville, Georgia 30120",GA,Yes,,,,,,,,Yes,,
Just Brew IT!,www.aardvarkbrewing.com,Justbrewit@BellSouth.net,888-719-4645,1924 highway 85 Jonesboro GA 30238,GA,Yes,,,,,,,,,,
WineCraft,www.wine-craft.com,winecraft@bellsouth.net,678-445-0001,"9425 Highway 92, Suite 154 Woodstock, GA. 30188",GA,Yes,,,,,,,,,,
HopCity Beer and Wine,www.hopcitybeer.com,info@hopcitybeer.com,404-350-9998,"1000 Marietta St NW #302 Atlanta, GA 30318",GA,Yes,,,,,,,,,,
Beer NecessitiesÂ ,www.brewvan.com,beernec@aol.com,770-645-1777,"10595 old alabama rd. connector, alfratrette, georgia 30022",GA,Yes,,,,,,,,,,
Homebrew of Columbus,,,(877) 566-2337,"2815 W Britt David Rd.
Columbus, Georgia, 31909",GA,Yes,,,,,,,,,,
Blockader Home Brew Supply,www.blockaderhomebrewsupply.com,blockaderhomebrew@gmail.com,706-548-5035,"1145 North Chase Street
Athens, GA 30601",GA,Yes,,,,,,,,,,
"Home Brewing Supplies, Inc.",www.homebrewingsupplies.org,kenny@muskedines.com,770-638-8383,"535 Indian Trail Lilburn Rd NW  Lilburn, GA 30047",GA,Yes,,,,,,,,,,
Grape & Grain at Redlight Tobacco,http://brewingsupplies.wordpress.com/,grape.grain@gmail.com,478-254-6615,"362 Second St, Macon, Georgia 31201",GA,Yes,,,,,,,,,,
U Can Brew Too,http://www.ucanbrewtoo.com/,ucanbrewtoo@gmail.com - got2keg@gmail.com,706-882-3630,"104 Main st. Grange, Georgia 30240",GA,Yes,,,,,,,,,,
The Survival Shops,www.thesurvivalshops.com, info@thesurvivalshops.com,813 633-3984,"2014 Osborne Road, St.Marys GA 31558",GA,Yes,,,,,,,,,,
My Brew Heaven,www.mybrewheaven.com,craig@mybrewheaven.com - info@mybrewheaven.com,770-534-5517,"1500 Browns Bridge Rd. gainsville, georgia 30501",GA,,,,,,,,,,,
muskedines,http://www.muskedines.com/,kenny@muskedines.com  ,770-383-3100,"630 N Tennessee St.
Cartersville, GA 30120",GA,,,,,,,,,,,
5 Points Growlers & Homebrew Supply,http://www.5pointsgrowlers.com/,info@5pointsgrowlers.com - fivepointsbottleshop@yahoo.com,706-247-0137,"3687 Atlanta Highway, Athens, Georgia 30606",GA,,,,,,,,,,,
MY BREW HEAVEN,,,770-534-5517,1500 BROWNS BRIDGE RD SUIITE E GAINSEVILE GA 30501,GA,,,,,,,,,,,
U CAN BREW TOO LLC,,UCANBREWTOO@GMAIL.COM,706-882-3630,380 S DAVIS RD  LAGRANGE GA 30241,GA,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
ILLINOIS,,,,,,,,,,,,,,,,
"Brew & Grow - Crystal Lake, IL",www.brewandgrow.com,http://www.brewandgrow.com/brew/contacts/ (email through website) OR info@brewandgrow.com,815-301-4950,"176 West Terra Cotta Ave.
Crystal Lake, IL 60014",IL,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,No,Yes,6/12/13,email didn't deliver,Yes,Old photos,
"Brew & Grow - Roselle, IL",www.brewandgrow.com,""" """,630-894-4885,"359 West Irving Park Rd.
Roselle, IL 60172",IL,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,""" """,""" """,6/12/13,,,""" """,
"Brew & Grow - Rockford, IL",www.brewandgrow.com,""" """,815-874-5700,"3224 South Alpine Rd.
Rockford, IL 61109",IL,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,""" """,""" """,6/12/13,,,""" """,
"Brew & Grow - Bolingbrook, IL",www.brewandgrow.com,""" """,630-771-1410,"181 West Crossroads Parkway.
Bolingbrook, IL 60440",IL,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,""" """,""" """,6/12/13,,,""" """,
"Brew & Grow - Chicago, IL",www.brewandgrow.com,""" """,773-463-7430,"3625 North Kedzie Ave.
Chicago, IL 60618",IL,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,""" """,""" """,6/12/13,,,""" """,
"Brew & Grow - Chicago, IL",www.brewandgrow.com,""" """,312-243-0005,"19 South Morgan St.
Chicago, IL 60607",IL,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,""" """,""" """,6/12/13,,,""" """,
Happy Hop Homebrew and Gourmet,http://happyhophomebrew.com/,magmacrest@gmail.com,618-277-2550,122 E. Main. Belleville IL 62220.,IL,Yes,,No,,No,,6/12/13,,Yes,,
Chicago Brew Works,chicagobrewwerks.com,brews@chicagobrewwerks.com,815-531-5557,"14903 South Centre St Unit 107, Plainfield, IL 60544",IL,Yes,,No,,,,,,Yes,,
Twin City Homebrewing,http://www.tchomebrewing.com/,kyle@tchomebrewing.com,(309) 862-0700,"604 Dale St. A1 Normal, IL 61761",IL,Yes,,,,,,,,Yes,,
Chicagoland Winemakers Inc.Â ,www.chicagolandwinemakers.com,info@chicagolandwinemakers.com,630-834-0507,"689 W North Ave  Elmhurst, IL 60126",IL,Yes,,,,,,,,,,
"Bev Art Beer, Wine & Mead Making Supply",www.bev-art.com,bevart@bevart.com,773-233-7579,"10033 S. Western Ave. Chicago, IL 60643",IL,Yes,,,,,,,,,,
Latoz Hardware,http://www.latoz.doitbest.com/home.aspx,latozhardware@sbcglobal.net,217-267-3121,"147 North State Street, Westville, Illinois 61883",IL,Yes,,,,,,,,,,
Brew Camp,www.brewcamp.com,jared@BrewCamp.com,(773) 784-2400,"4639 Damen Ave. Chicago, IL, 60625",IL,Yes,,,,,,,,,,
Fox Valley Home Brew,http://www.foxvalleybrew.com/,fh1@comcast.net,1 630-892-0742,"Fox Valley Home Brew - 14 West Downer Place, Aurora, Illinois, 60506",IL,,,,,,,,,,,
Somethings Brewn'Â ,www.somethingsbrewn.com,somethingsbrewn@seminarystreet.com,309-341-4118,401 E. Main St.,IL,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
WISCONSIN,,,,,,,,,,,,,,,,
"Brew & Grow - Madison, WI",www.brewandgrow.com,http://www.brewandgrow.com/brew/contacts/ (email through website),608-226-8910,"1525 Williamson St. 
Madison, WI 53703",WI,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,No,Yes,6/12/13,,,Old photos,
"Brew & Grow - Waukesha, WI",www.brewandgrow.com,""" """,262-717-0666,"2246 Bluemound Rd.
Waukesha, WI 53186",WI,Yes,,http://www.brewandgrow.com/brew/fastrack.html,,""" """,""" """,6/12/13,,,Old photos,
Northern Brewer,northernbrewer.com,http://www.northernbrewer.com/about/contact-us/ (email through website),414-935-4099,"1306 South 108th St.
Milwaukee, WI 53214",WI,Yes,,http://www.northernbrewer.com/shop/fastrack-combo-2-racks-with-1-tray.html,,No,No,6/12/13,,,"Old photos (Entire page, 3 photos)",
House of Homebrew,www.houseofhomebrew.com,staff@houseofhomebrew.com,(920) 435-1007,"410 Dousman St  Green Bay, WI 54303",WI,Yes,June10-Oct5 10 combos - Just less than 1 week,No,,No,2 racks - 1 Tray - $32.95,june12 - Oct5,oct5 mitchell spoke and o problem with selling the combo ,,,
Wine and Hop Shop,www.wineandhop.com,wineandhop@gmail.com,608-257-0099,"1931 Monroe St  Madison, WI 53711",WI,Yes,Charlie persoanlly selling 3-4 per week minimum and he had all separate pricng etc.,No,,No,2 racks-1tray - $32.99. rack-$17.99. Tray-$9.99,june12 - Oct5,Oct5 spoke to charlie and selling them like crazy. Only needs to lower single pricing and they are good to go,,,
Village Deli & Wine Shop,http://greatbrewers.com/,stcisch@chibardun.net,715-234-4146,"819 Hammond Ave
Rice Lake, WI 54868",WI,Yes,,No,,,,6/12/13,,,,
Nutrition Discount Center,www.nutritiondiscountcenter.com,staff@nutritiondiscountcenter.com,920-426-1280,"463 N Main St  Oshkosh, WI 54901",WI,Yes,,No,,,,,,,,
The Cellar Homebrew Supplies,www.thecellarhomebrew.com,fdlbrew@msn.com,920-517-1601,"244 S Main St  Fond du Lac, WI 54935",WI,Yes,,No,,,,,Just added to the list Mid July,,,
Farmhouse Brewing Supply,www.farmhousebrewingsupply.com,Farmhousebrewingsupply@gmail.com,608-305-4677,"3000 Milton Ave 
Suite 109 
Janesville, Wisconsin 53545",WI,Yes,,No,,,,,Just added to the list Mid July,,,
Cap-n-Corks,www.capncorksonline.com,info@capncorksonline.com,715-514-4110,"5256 Friedeck Rd - 
Eau Claire WI 54701",WI,Yes,,,,,,,Added late July,,,
Grape Grain & Bean,www.grapegrainandbean.com,ggandb@onecommail.com,920-682-8828,"816 S 8th St  Manitowoc, WI 54220",WI,Yes,,,,,,,Added last week of july,,,
Bull Falls Home Brew Depot,http://www.bullfallshomebrewdepot.com/page.aspx?index=00000001,homebrewdepot@charter.net,715-393-4500,"606 Washington St., Wausau, Wisconsin 54403",WI,Yes,,,,,,,Added last week of july,,,
Point Brew Supply,www.pointbrewsupply.com,osobrewing@gmail.com ,(715) 342-9535,"3038 Village Park Dr. Plover, WI 54467",WI,Yes,,,,,,,,,,
Brewmasters Brewing Supplies,http://www.brewmastersbrewing.com/,brewmasters@hotmail.com,920-467-0441,"404 Fond Du Lac, Sheboygan Falls, Wisconsin 53085",WI,Yes,,,,,,,,,,
Devine Liquor,http://devineliquors.com/,mail@devineliquors.com  jon@devineliquors.com,715-426-7560,"703B North Main Street, River Falls, Wisconsin 54022",WI,Yes,,,,,,,,,,
Hop to It Beer & Wine Supplies,http://www.dpwigley.com,hoptoit@wi.twcbc.com,262-633-8239,"234 Wisconsin Avenue
Racine, Wisconsin 53403",WI,Yes,,,,,,,,,,
Purple Foot,www.purplefootusa.com,wineandbeer@purplefootusa.com,(414) 327-2130,"3167 S 92nd St, Milwaukee, WI 53227",WI,Yes,,,,,,,,,,
Beverage Artisan,http://www.beverageartisan.com/,BeverageArtisan@gmail.com,715-505-2176,"310 Wilson Ave W, Menomonie, Wisconsin 54751",WI,Yes,,,,,,BSG-Sept 23,,,,
Lake Geneva Brewing Emporium,http://www.lakegenevabrewingemporium.com/index.html,LakeGenevaBrewingEmporium@yahoo.com,262-729-4005,"640 West Main Street, Lake Geneva, Wisconsin 53147",WI,Yes,,,,,,,,,,
Minocqua Hardware & Rental,http://minocquahardware.com/,jon@minocquahardware.net,715-356-1324,"9783 Rylee Ln, Minocqua, Wisconsin 54548",WI,Yes,,,,,,,,,,
WindRiver Brewing Company,http://www.windriverbrew.com/,windrvr@bitstream.net,715-357-3125,"861 10th Avenue, Barron, Wisconsin 54812",WI,Yes,,,,,,,,,,
Cannery Wine and Spirits,www.cannerywineandspirits.com,Kathy@CanneryWineAndSpirits.com,608-318-0595,"240 E Main St  Sun Prairie, WI 53590",WI,Yes,,,,,,,,,,
Homebrew Market,www.homebrewmarket.com,hbmarket3@aol.com ,920-733-4294,"1326 N Meade St  Appleton, WI 54911",WI,Yes,,,,,,,,,,
Smokin' Brew,www.shop.smokinbrew.com,info@smokinbrew.com,262-729-3001,"9 S Wisconsin St  Elkhorn, WI 53121",WI,,,,,,,,,,,Oct16 -LD
Lil' Ole Winemaker Shoppe,www.lilolewinemaker.com,sales@lilolewinemaker.com,715-845-6170,"602 Jefferson St
Wausau, WI 54403",WI,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
RHODE ISLAND,,,,,,,,,,,,,,,,
Craft Brews Supplies,http://craftbrewssupplies.com/,Chris@craftbrewssupplies.com,401-539-BEER,"1133 Main st
Wyoming, RI 02898",RI,Yes,,,,,,,Just added to the list Mid July,,,
Blackstone Valley Brewing Supplies,www.blackstonevalleybrewing.com,bvbs@cox.net,401-765-3830,"403 Park Ave  Woonsocket, RI 02895",RI,,,,,,,,,,,
Brew Horizons,http://www.brewhorizons.net/,carl@brewhorizons.net,401-884-3430,"3775 Post Road, Warwick, RI 02886",RI,Yes,,,,,,,,,,
